1,,Acanthus,,dioscoridis,var. perringii,,ACANDP,A short spiky acanthus for growing in a spot that is warm and dry. Full sun will bring the best flowering when the highly unusual short spikes of hooded flowers can best be appreciated. Flowers pale to deeper pink covered by pink veined hoods. 40cm,1L,1,0,A\Acanthus dioscorides peringii #2.JPG,A\Acanthus dioscorides peringii #1.JPG,,,0,Acanthus,0,,0
2,,Acanthus,,dioscoridis,,,ACANDIO,Leaves are barely toothed rather than the deeply cut form of the subspecies. peringii being long and narrow with slightly hairy texture. In flower they are again similar but with more of an emphasis on pink rather than pinky purple. For a warm sunny site.,,1,0,A\Acanthus-dioscoridis-(2).jpg,,,,,,,,
3,,Acanthus,,hirsutus,,,ACANHIR,A choice dwarf species of Acanthus from Turkey. The leaves are long narrow and deeply divided forming dense clumps. The flowering spikes are densely hairy and carry soft yellow flowers  hooded with hairy green bracts. Best grown in full sun in a well drai,1L,1,0,A\Acanthus hirsutus #1.JPG,,,,0,Sunningdale,0,,0
4,,Acanthus,,hungaricus,,(balcanicus),ACANHUM,Handsome and stately with dense clumps of deeply lobed leaves and stiff spikes densely packed with four rows of purple shrouded pale pink flowers. Well drained soil in full sun; Height between 90 & 150cm,1L,1,0,A\Acanthus hungaricus garden.JPG,,,,0,Acanthus,0,,1
5,,Acanthus,,mollis,'Hollard's Gold',('Fielding Gold'),ACANHOLG,beautiful bold broad shining golden foliage particularly in Spring and Autumn but also goldy in Summer if grown in the shade. Typical white slipper shaped flowers with strong purple hoods grow on 90cm tall stems persisting for a long time,1L,1,0,A\Acanthus-Fieldings-Gold-(1).jpg,,,,0,Acanthus,0,,0
6,,Acanthus,,mollis,'Latifolius',,ACANMOLL,Handsome and stately with dense clumps of deeply lobed leaves and stiff spikes densely packed with four rows of purple shrouded white flowers. Denser and squatter than the type. The leaves are broader in their lobes making the lobes ovelap and creating v,1L,1,0,A\Acanthus mollis Latifolius group.JPG,,,,0,Acanthus,0,,0
7,,Acanthus,,mollis,'Tasmanian Angel',,ACANMTA,Bold architectural leaves are variously splashed and edged in white a colouring that fades through the season. Flower spikes are white colouring pink as they mature. A little neater and hardier than acanthus 'Whitewater',1L,1,0,A\Acanthus-Tasmanian-Angel-(1).jpg,,,,0,Salvia aethiopis,0,,0
8,,Acanthus,,mollis,,,ACANMOL,Handsome and stately with dense clumps of deeply lobed leaves and stiff spikes densely packed with four rows of purple shrouded pale pink flowers. Well drained soil in full sun; Height between 90 & 150cm,1L,1,0,A\Acanthus mollis Latifolius group.JPG,,,,0,Acanthus,0,,0
9,,Acanthus,,spinosus,'Lady Moore',,ACANSPLM,Handsome plants with large shining ornamental foliage which appears cream and yellow in the Spring. In this species the leaves are deeply divided. Spires of foxglove-like flowers. Height 4-5 feet (colouring appears in older plants only),1L,1,0,A\Acanthus spinosus.jpg,,,,1,Acanthus,0,,0
10,,Acanthus,,spinosus,Spinossisimus Group,,ACANSPINSPIN,"The spiniest prickliest form of Acanthus spinosus. The leaves are so finely cut that they are reduced to a veinal framework with every part of the leaf a handsome silver spike. It thrives in hot dry conditions although it flowers less precociously than the type. 75cm",1L,1,0,A\Acanthus-spinossissimus-(1).jpg,,,,0,Default,0,,0
11,,Acanthus,,spinosus,,,,Handsome plants with large shining ornamental foliage. In this species the leaves are deeply divided. Spires of foxglove-like flowers. Height 4-5 feet,,1,0,A\Acanthus spinosus.jpg,,,,1,Acanthus,1,,0
12,,Acanthus,,,'Whitewater',,ACANWHITEW,The leaves of this most striking variety are variably edged and splashed in white. The flower spikes are also a ghostly cream with contracting red stems. Altogether a variety which is sure to attract attention,1L,1,0,A\Acanthus-Whitewater.jpg,,,,0,Astantia,0,,0
13,,Achillea,,decolorans,'W.B.Childs',,,A useful for brightening any scheme with open airy flat heads of bright white flowers; each with a dark eye. Easily grown and non-invasive. 60cm,,0,0,,,,,0,Default,1,,0
14,,Achillea,,filipendula,'Cloth of Gold',,,Tall stems topped with dense flat heads of rich yellow flowers. A good long- lasting flower for the border which dries extremely well also. 120cm.,,0,0,,,,,0,Default,1,,0
15,,Achillea,,millefolium,'Apfelblute',Appleblossum' (Galaxy Series),ACHAPPLE,Short and stocky form with very broad heads of flowers. Flowers open deep pink and fade in the sun giving a lovely two-toned effect. Dense ground cover. 60cm. Full sun. Any soil,,0,0,,,,,,,,,
